CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5553360,02/09/2016 11:29:53 PM,,02/09/2016 11:29:53 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of HYDE ST and PACIFIC AVE,3,Nob Hill,"(37.795463562881, -122.418293512176)",Open311,
5553350,02/09/2016 11:25:04 PM,,02/09/2016 11:26:13 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"220 BUSH ST, SAN FRANCISCO, CA, 94104",3,Financial District,"(37.79122180317, -122.401253009869)",Voice In,
5553276,02/09/2016 09:56:37 PM,,02/09/2016 09:56:37 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"241 6TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.779274899308, -122.406352569553)",Open311,
5553179,02/09/2016 08:48:32 PM,,02/09/2016 08:48:32 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,"2761 SCOTT ST, SAN FRANCISCO, CA, 94123",2,Pacific Heights,"(37.79539474126, -122.440344819975)",Web Self Service,
5553170,02/09/2016 08:45:44 PM,,02/09/2016 08:45:44 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of WASHINGTON ST and WEBSTER ST,2,Pacific Heights,"(37.791799522615, -122.432739438946)",Web Self Service,
5553162,02/09/2016 08:37:36 PM,,02/09/2016 08:37:36 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"943 HARRISON ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.778170660149, -122.402683446298)",Open311,
5553154,02/09/2016 08:24:56 PM,,02/09/2016 08:24:56 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,Intersection of 1ST ST and CLEMENTINA ST,6,South of Market,"(37.7877175093053, -122.395007836409)",Open311,
5553117,02/09/2016 07:54:28 PM,,02/09/2016 07:54:28 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,Intersection of MASONIC AVE and EUCLID AVE,2,Laurel Heights / Jordan Park,"(37.7850837365507, -122.447620029034)",Web Self Service,
5553083,02/09/2016 07:45:21 PM,,02/09/2016 07:46:01 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of 25TH AVE and CALIFORNIA ST,1,Outer Richmond,"(37.7838821828959, -122.485010935157)",Voice In,
5553069,02/09/2016 07:29:24 PM,,02/09/2016 07:30:44 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"172 CLARA ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.780115117125, -122.401826933565)",Voice In,
5553039,02/09/2016 07:06:16 PM,,02/09/2016 07:06:16 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of JOOST AVE and HAZELWOOD AVE,7,Westwood Highlands,"(37.7322372907532, -122.455048892747)",Web Self Service,
5553016,02/09/2016 06:51:36 PM,,02/09/2016 06:54:33 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"162 CLARA ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.780190639036, -122.401559746167)",Voice In,
5553010,02/09/2016 06:45:19 PM,,02/09/2016 06:45:20 PM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of LARKIN ST and OFARRELL ST,6,Tenderloin,"(37.785167113148, -122.417901555792)",Open311,
